Issuer,Currency,Coupon,Yield,Moody's Rating,Maturity Date,Bid,Ask,Source URL,Scrape Date,ISIN,Issue Date
"Canada, Government of...",CAD,1.25%,2.88%,Aaa,3/1/2027,96.62,96.7,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087m847,10/15/2021
"Canada, Government of...",CAD,8.00%,2.82%,Aaa,6/1/2027,111.69,112.05,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087vw17,5/1/1996
"Canada, Government of...",CAD,4.50%,2.96%,Aaa,2/1/2026,101.59,101.64,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087r226,11/1/2023
"Canada, Government of...",CAD,2.75%,2.88%,Aaa,9/1/2027,99.63,99.72,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087n837,5/13/2022
"Canada, Government of...",CAD,3.25%,2.98%,Aaa,11/1/2026,-,-,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087s398,8/2/2024
"Canada, Government of...",CAD,1.00%,2.81%,Aaa,6/1/2027,95.84,95.93,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087f825,8/3/2016
"Canada, Government of...",CAD,1.25%,3.11%,Aaa,3/1/2025,99.71,99.73,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087k528,10/11/2019
"Canada, Government of...",CAD,9.00%,3.05%,Aaa,6/1/2025,102.28,102.5,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087vh40,8/2/1994
"Canada, Government of...",CAD,4.00%,2.98%,Aaa,5/1/2026,101.3,101.41,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087r556,2/12/2024
"Canada, Government of...",CAD,2.25%,3.09%,Aaa,6/1/2025,99.66,99.68,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087d507,6/30/2014
"Canada, Government of...",CAD,3.75%,3.04%,Aaa,5/1/2025,100.19,100.27,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087q319,2/10/2023
"Canada, Government of...",CAD,4.00%,2.96%,Aaa,8/3/2026,101.52,101.74,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087r978,5/6/2024
